question,answer,category,difficulty,tags
What is Angular Framework?,"Angular is a TypeScript-based open-source front-end platform that makes it easy to build web, mobile and desktop applications. The major features of this framework include declarative templates, dependency injection, end to end tooling which ease application development.",Angular Basics,easy,angular
What is the difference between AngularJS and Angular?,"AngularJS (version 1.x) is a JavaScript framework, whereas Angular (version 2+) is a complete rewrite of AngularJS using TypeScript, providing better performance, mobile support, modularity, and a more modern architecture.

Here are some of the major differences in tabular format:-

AngularJS	Angular
It is based on MVC architecture	This is based on Service/Controller
It uses JavaScript to build the application	Uses TypeScript to build the application
Based on controllers concept	This is a component based UI approach
No support for mobile platforms	Fully supports mobile platforms
Difficult to build SEO friendly application	Ease to build SEO friendly applications",Angular Basics,easy,angular;angularjs;di
What is TypeScript?,"TypeScript is a strongly typed superset of JavaScript created by Microsoft that adds optional types, classes, async/await and many other features, and compiles to plain JavaScript. Angular is written entirely in TypeScript as a primary language. You can install TypeScript globally as
npm install -g typescript
Let's see a simple example of TypeScript usage:-
function greeter(person: string) {
    return ""Hello, "" + person;
}

let user = ""Sudheer"";

document.body.innerHTML = greeter(user);
The greeter method allows only string type as argument.",TypeScript,easy,typescript
Write a pictorial diagram of Angular architecture?,The main building blocks of an Angular application are shown in the diagram below:- ScreenShot,Angular Basics,easy,angular;di
What are the key components of Angular?,"Angular has the key components below,
Component: These are the basic building blocks of an Angular application to control HTML views.
Modules: An Angular module is a set of angular basic building blocks like components, directives, services etc. An application is divided into logical pieces and each piece of code is called as ""module"" which perform a single task.
Templates: These represent the views of an Angular application.
Services: Are used to create components which can be shared across the entire application.
Metadata: This can be used to add more data to an Angular class.",Components,easy,angular;component
What are directives?,"Directives add behaviour to an existing DOM element or an existing component instance.

import { Directive, ElementRef, Input } from '@angular/core';

@Directive({ selector: '[myHighlight]' })
export class HighlightDirective {
    constructor(el: ElementRef) {
       el.nativeElement.style.backgroundColor = 'yellow';
    }
}
Now this directive extends HTML element behavior with a yellow background as below

<p myHighlight>Highlight me!</p>",Directives,easy,directive;di
What are components?,"Components are the most basic UI building block of an Angular app, which form a tree of Angular components. These components are a subset of directives. Unlike directives, components always have a template, and only one component can be instantiated per element in a template. Let's see a simple example of Angular component
import { Component } from '@angular/core';

@Component ({
   selector: 'my-app',
   template: ` <div>
      <h1>{{title}}</h1>
      <div>Learn Angular6 with examples</div>
   </div> `,
})

export class AppComponent {
   title: string = 'Welcome to Angular world';
}",Components,easy,component
What are the differences between Component and Directive?,"In a short note, A component(@component) is a directive-with-a-template.

Some of the major differences are mentioned in a tabular form

Component	Directive
To register a component we use @Component meta-data annotation	To register a directive we use @Directive meta-data annotation
Components are typically used to create UI widgets	Directives are used to add behavior to an existing DOM element
Component is used to break down the application into smaller components	Directive is used to design re-usable components
Only one component can be present per DOM element	Many directives can be used per DOM element
@View decorator or templateurl/template are mandatory	Directive doesn't use View",Components,easy,component;directive;di
What is a template?,"A template is a HTML view where you can display data by binding controls to properties of an Angular component. You can store your component's template in one of two places. You can define it inline using the template property, or you can define the template in a separate HTML file and link to it in the component metadata using the @Component decorator's templateUrl property.

Using inline template with template syntax,

import { Component } from '@angular/core';

@Component ({
   selector: 'my-app',
   template: '
      <div>
         <h1>{{title}}</h1>
         <div>Learn Angular</div>
      </div>
   '
})

export class AppComponent {
   title: string = 'Hello World';
}
Using separate template file such as app.component.html

import { Component } from '@angular/core';

@Component ({
   selector: 'my-app',
   templateUrl: 'app/app.component.html'
})

export class AppComponent {
   title: string = 'Hello World';
}",Templates,easy,template
What is a module?,"Modules are logical boundaries in your application and the application is divided into separate modules to separate the functionality of your application. Lets take an example of app.module.ts root module declared with @NgModule decorator as below,

import { NgModule }      from '@angular/core';
import { BrowserModule } from '@angular/platform-browser';
import { AppComponent }  from './app.component';

@NgModule ({
   imports:      [ BrowserModule ],
   declarations: [ AppComponent ],
   bootstrap:    [ AppComponent ],
   providers: []
})
export class AppModule { }
The NgModule decorator has five important (among all) options:

The imports option is used to import other dependent modules. The BrowserModule is required by default for any web based angular application.
The declarations option is used to define components in the respective module.
The bootstrap option tells Angular which Component to bootstrap in the application.
The providers option is used to configure a set of injectable objects that are available in the injector of this module.
The entryComponents option is a set of components dynamically loaded into the view.",Modules,easy,module
